dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
BBB,11/1/2019 0:24,11/1/2019 1:18,264,264,
B00013,11/1/2019 0:43,11/1/2019 1:21,264,264,
B00013,11/1/2019 0:00,11/1/2019 0:47,264,264,
,CCCC,11/1/2019 0:48,264,264,
B00014,11/1/2019 0:56,11/1/2019 1:00,264,264,
B00014,11/1/2019 0:47,11/1/2019 1:02,264,264,
B00014,11/1/2019 0:41,11/1/2019 1:05,264,264,
B00014,11/1/2019 0:58,11/1/2019 1:45,264,264,
B00014,11/1/2019 0:22,11/1/2019 0:51,264,264,
2.40E+14,11/1/2019 0:54,11/1/2019 1:07,70,92,
B00021,11/1/2019 0:34,11/1/2019 0:53,173,82,
B00021,11/1/2019 0:59,,173,70,
B00021,11/1/2019 0:15,11/1/2019 0:24,70,70,
B00021,11/1/2019 0:28,11/1/2019 0:41,173,82,
B00021,11/1/2019 0:00,11/1/2019 1:28,173,28,
B00021,11/1/2019 0:44,11/1/2019 0:55,56,82,
B00021,kjaskdjsa,11/1/2019 1:11,56,129,
B00037,11/1/2019 0:17,11/1/2019 0:20,264,188,
B00037,11/1/2019 0:45,11/1/2019 0:55,264,85,
B00037,11/1/2019 0:06,11/1/2019 0:18,264,17,
,,11/1/2019 0:51,,188,
,,11/1/2019 0:45,,89,
B00037,11/1/2019 0:13,11/1/2019 1:14,264,85,
B00037,11/1/2019 0:00,11/1/2019 0:02,264,39,
B00037,11/1/2019 0:29,11/1/2019 0:34,264,225,
B00111,11/1/2019 0:28,11/1/2019 0:46,264,234,
B00111,11/1/2019 0:04,11/1/2019 0:34,264,119,
B00111,11/1/2019 0:24,11/1/2019 0:38,264,107,
B00111,11/1/2019 0:16,11/1/2019 0:39,264,141,
B00111,11/1/2019 0:32,11/1/2019 0:53,264,169,
B00111,11/1/2019 0:38,11/1/2019 1:18,264,229,
B00111,11/1/2019 0:44,11/1/2019 1:19,264,265,
B00111,11/1/2019 0:26,11/1/2019 0:54,264,11,
B00111,11/1/2019 0:02,11/1/2019 0:21,264,265,
B00112,11/1/2019 0:01,11/1/2019 0:11,264,14,
bbb00034,,11/1/2019 0:47,-5,228,
B00112,11/1/2019 0:06,11/1/2019 0:10,264,14,
B00112,11/1/2019 0:14,11/1/2019 0:17,264,14,
B00112,11/1/2019 0:21,11/1/2019 0:23,-11,14,
B00112,11/1/2019 0:06,11/1/2019 0:13,264,14,
B00112,11/1/2019 0:21,11/1/2019 1:00,,240,
B00149,11/1/2019 0:03,11/1/2019 0:11,264,91,
